month,year,CPIAUCSL,ratio
1,1989,121.200,1
2,1989,121.600,1.00330033
3,1989,122.200,1.008250825
4,1989,123.100,1.015676568
5,1989,123.700,1.020627063
6,1989,124.100,1.023927393
7,1989,124.500,1.027227723
8,1989,124.500,1.027227723
9,1989,124.800,1.02970297
10,1989,125.400,1.034653465
11,1989,125.900,1.038778878
12,1989,126.300,1.042079208
1,1990,127.500,1.051980198
2,1990,128.000,1.056105611
3,1990,128.600,1.061056106
4,1990,128.900,1.063531353
5,1990,129.100,1.065181518
6,1990,129.900,1.071782178
7,1990,130.500,1.076732673
8,1990,131.600,1.085808581
9,1990,132.500,1.093234323
10,1990,133.400,1.100660066
11,1990,133.700,1.103135314
12,1990,134.200,1.107260726
1,1991,134.700,1.111386139
2,1991,134.800,1.112211221
3,1991,134.800,1.112211221
4,1991,135.100,1.114686469
5,1991,135.600,1.118811881
6,1991,136.000,1.122112211
7,1991,136.200,1.123762376
8,1991,136.600,1.127062706
9,1991,137.000,1.130363036
10,1991,137.200,1.132013201
11,1991,137.800,1.136963696
12,1991,138.200,1.140264026
1,1992,138.300,1.141089109
2,1992,138.600,1.143564356
3,1992,139.100,1.147689769
4,1992,139.400,1.150165017
5,1992,139.700,1.152640264
6,1992,140.100,1.155940594
7,1992,140.500,1.159240924
8,1992,140.800,1.161716172
9,1992,141.100,1.164191419
10,1992,141.700,1.169141914
11,1992,142.100,1.172442244
12,1992,142.300,1.174092409
1,1993,142.800,1.178217822
2,1993,143.100,1.180693069
3,1993,143.300,1.182343234
4,1993,143.800,1.186468647
5,1993,144.200,1.189768977
6,1993,144.300,1.190594059
7,1993,144.500,1.192244224
8,1993,144.800,1.194719472
9,1993,145.000,1.196369637
10,1993,145.600,1.201320132
11,1993,146.000,1.204620462
12,1993,146.300,1.20709571
1,1994,146.300,1.20709571
2,1994,146.700,1.21039604
3,1994,147.100,1.21369637
4,1994,147.200,1.214521452
5,1994,147.500,1.2169967
6,1994,147.900,1.22029703
7,1994,148.400,1.224422442
8,1994,149.000,1.229372937
9,1994,149.300,1.231848185
10,1994,149.400,1.232673267
11,1994,149.800,1.235973597
12,1994,150.100,1.238448845
1,1995,150.500,1.241749175
2,1995,150.900,1.245049505
3,1995,151.200,1.247524752
4,1995,151.800,1.252475248
5,1995,152.100,1.254950495
6,1995,152.400,1.257425743
7,1995,152.600,1.259075908
8,1995,152.900,1.261551155
9,1995,153.100,1.26320132
10,1995,153.500,1.26650165
11,1995,153.700,1.268151815
12,1995,153.900,1.26980198
1,1996,154.700,1.27640264
2,1996,155.000,1.278877888
3,1996,155.500,1.2830033
4,1996,156.100,1.287953795
5,1996,156.400,1.290429043
6,1996,156.700,1.29290429
7,1996,157.000,1.295379538
8,1996,157.200,1.297029703
9,1996,157.700,1.301155116
10,1996,158.200,1.305280528
11,1996,158.700,1.309405941
12,1996,159.100,1.312706271
1,1997,159.400,1.315181518
2,1997,159.700,1.317656766
3,1997,159.800,1.318481848
4,1997,159.900,1.319306931
5,1997,159.900,1.319306931
6,1997,160.200,1.321782178
7,1997,160.400,1.323432343
8,1997,160.800,1.326732673
9,1997,161.200,1.330033003
10,1997,161.500,1.332508251
11,1997,161.700,1.334158416
12,1997,161.800,1.334983498
1,1998,162.000,1.336633663
2,1998,162.000,1.336633663
3,1998,162.000,1.336633663
4,1998,162.200,1.338283828
5,1998,162.600,1.341584158
6,1998,162.800,1.343234323
7,1998,163.200,1.346534653
8,1998,163.400,1.348184818
9,1998,163.500,1.349009901
10,1998,163.900,1.352310231
11,1998,164.100,1.353960396
12,1998,164.400,1.356435644
1,1999,164.700,1.358910891
2,1999,164.700,1.358910891
3,1999,164.800,1.359735974
4,1999,165.900,1.368811881
5,1999,166.000,1.369636964
6,1999,166.000,1.369636964
7,1999,166.700,1.375412541
8,1999,167.100,1.378712871
9,1999,167.800,1.384488449
10,1999,168.100,1.386963696
11,1999,168.400,1.389438944
12,1999,168.800,1.392739274
1,2000,169.300,1.396864686
2,2000,170.000,1.402640264
3,2000,171.000,1.410891089
4,2000,170.900,1.410066007
5,2000,171.200,1.412541254
6,2000,172.200,1.420792079
7,2000,172.700,1.424917492
8,2000,172.700,1.424917492
9,2000,173.600,1.432343234
10,2000,173.900,1.434818482
11,2000,174.200,1.437293729
12,2000,174.600,1.440594059
1,2001,175.600,1.448844884
2,2001,176.000,1.452145215
3,2001,176.100,1.452970297
4,2001,176.400,1.455445545
5,2001,177.300,1.462871287
6,2001,177.700,1.466171617
7,2001,177.400,1.46369637
8,2001,177.400,1.46369637
9,2001,178.100,1.469471947
10,2001,177.600,1.465346535
11,2001,177.500,1.464521452
12,2001,177.400,1.46369637
1,2002,177.700,1.466171617
2,2002,178.000,1.468646865
3,2002,178.500,1.472772277
4,2002,179.300,1.479372937
5,2002,179.500,1.481023102
6,2002,179.600,1.481848185
7,2002,180.000,1.485148515
8,2002,180.500,1.489273927
9,2002,180.800,1.491749175
10,2002,181.200,1.495049505
11,2002,181.500,1.497524752
12,2002,181.800,1.5
1,2003,182.600,1.50660066
2,2003,183.600,1.514851485
3,2003,183.900,1.517326733
4,2003,183.200,1.511551155
5,2003,182.900,1.509075908
6,2003,183.100,1.510726073
7,2003,183.700,1.515676568
8,2003,184.500,1.522277228
9,2003,185.100,1.527227723
10,2003,184.900,1.525577558
11,2003,185.000,1.52640264
12,2003,185.500,1.530528053
1,2004,186.300,1.537128713
2,2004,186.700,1.540429043
3,2004,187.100,1.543729373
4,2004,187.400,1.54620462
5,2004,188.200,1.552805281
6,2004,188.900,1.558580858
7,2004,189.100,1.560231023
8,2004,189.200,1.561056106
9,2004,189.800,1.566006601
10,2004,190.800,1.574257426
11,2004,191.700,1.581683168
12,2004,191.700,1.581683168
1,2005,191.600,1.580858086
2,2005,192.400,1.587458746
3,2005,193.100,1.593234323
4,2005,193.700,1.598184818
5,2005,193.600,1.597359736
6,2005,193.700,1.598184818
7,2005,194.900,1.608085809
8,2005,196.100,1.617986799
9,2005,198.800,1.640264026
10,2005,199.100,1.642739274
11,2005,198.100,1.634488449
12,2005,198.100,1.634488449
1,2006,199.300,1.644389439
2,2006,199.400,1.645214521
3,2006,199.700,1.647689769
4,2006,200.700,1.655940594
5,2006,201.300,1.660891089
6,2006,201.800,1.665016502
7,2006,202.900,1.674092409
8,2006,203.800,1.681518152
9,2006,202.800,1.673267327
10,2006,201.900,1.665841584
11,2006,202.000,1.666666667
12,2006,203.100,1.675742574
1,2007,203.437,1.678523102
2,2007,204.226,1.685033003
3,2007,205.288,1.69379538
4,2007,205.904,1.698877888
5,2007,206.755,1.70589934
6,2007,207.234,1.709851485
7,2007,207.603,1.71289604
8,2007,207.667,1.713424092
9,2007,208.547,1.720684818
10,2007,209.190,1.725990099
11,2007,210.834,1.739554455
12,2007,211.445,1.74459571
1,2008,212.174,1.750610561
2,2008,212.687,1.754843234
3,2008,213.448,1.761122112
4,2008,213.942,1.76519802
5,2008,215.208,1.775643564
6,2008,217.463,1.794249175
7,2008,219.016,1.807062706
8,2008,218.690,1.804372937
9,2008,218.877,1.805915842
10,2008,216.995,1.790387789
11,2008,213.153,1.758688119
12,2008,211.398,1.744207921
1,2009,211.933,1.748622112
2,2009,212.705,1.754991749
3,2009,212.495,1.753259076
4,2009,212.709,1.755024752
5,2009,213.022,1.757607261
6,2009,214.790,1.772194719
7,2009,214.726,1.771666667
8,2009,215.445,1.77759901
9,2009,215.861,1.781031353
10,2009,216.509,1.786377888
11,2009,217.234,1.792359736
12,2009,217.347,1.793292079
1,2010,217.488,1.794455446
2,2010,217.281,1.792747525
3,2010,217.353,1.793341584
4,2010,217.403,1.793754125
5,2010,217.290,1.792821782
6,2010,217.199,1.792070957
7,2010,217.605,1.795420792
8,2010,217.923,1.798044554
9,2010,218.275,1.800948845
10,2010,219.035,1.807219472
11,2010,219.590,1.81179868
12,2010,220.472,1.819075908
1,2011,221.187,1.824975248
2,2011,221.898,1.830841584
3,2011,223.046,1.840313531
4,2011,224.093,1.848952145
5,2011,224.806,1.854834983
6,2011,224.806,1.854834983
7,2011,225.395,1.859694719
8,2011,226.106,1.865561056
9,2011,226.597,1.869612211
10,2011,226.750,1.870874587
11,2011,227.169,1.874331683
12,2011,227.223,1.874777228
1,2012,227.842,1.879884488
2,2012,228.329,1.88390264
3,2012,228.807,1.887846535
4,2012,229.187,1.890981848
5,2012,228.713,1.887070957
6,2012,228.524,1.885511551
7,2012,228.590,1.886056106
8,2012,229.918,1.897013201
9,2012,231.015,1.906064356
10,2012,231.638,1.91120462
11,2012,231.249,1.90799505
12,2012,231.221,1.907764026
1,2013,231.612,1.910990099
2,2013,232.985,1.922318482
3,2013,232.299,1.916658416
4,2013,231.795,1.9125
5,2013,231.916,1.91349835
6,2013,232.374,1.917277228
7,2013,232.889,1.921526403
8,2013,233.323,1.925107261
9,2013,233.632,1.927656766
10,2013,233.718,1.928366337
11,2013,234.121,1.931691419
12,2013,234.723,1.936658416
1,2014,235.385,1.942120462
2,2014,235.672,1.944488449
3,2014,235.978,1.947013201
4,2014,236.471,1.951080858
5,2014,236.832,1.954059406
6,2014,237.029,1.955684818
7,2014,237.424,1.958943894
8,2014,237.256,1.957557756
9,2014,237.486,1.959455446
10,2014,237.506,1.959620462
11,2014,237.118,1.956419142
12,2014,236.290,1.949587459
1,2015,234.913,1.938226073
2,2015,235.489,1.942978548
3,2015,235.989,1.94710396
4,2015,236.201,1.948853135
5,2015,236.891,1.954546205
6,2015,237.419,1.95890264
7,2015,237.876,1.962673267
8,2015,237.811,1.962136964
9,2015,237.467,1.95929868
10,2015,237.792,1.961980198
11,2015,238.153,1.964958746
12,2015,237.846,1.962425743
1,2016,238.106,1.964570957
