"","month","year","CPIAUCSL","ratio"
"1","jan",2001,175.6,1.35447608200456
"2","feb",2001,176,1.35139772727273
"3","mar",2001,176.1,1.35063032367973
"4","apr",2001,176.4,1.34833333333333
"5","may",2001,177.3,1.34148900169205
"6","jun",2001,177.7,1.33846933033202
"7","jul",2001,177.4,1.34073280721533
"8","aug",2001,177.4,1.34073280721533
"9","sep",2001,178.1,1.33546322290848
"10","oct",2001,177.6,1.33922297297297
"11","nov",2001,177.5,1.33997746478873
"12","dec",2001,177.4,1.34073280721533
"13","jan",2002,177.7,1.33846933033202
"14","feb",2002,178,1.33621348314607
"15","mar",2002,178.5,1.33247058823529
"16","apr",2002,179.3,1.32652537646403
"17","may",2002,179.5,1.32504735376045
"18","jun",2002,179.6,1.32430957683742
"19","jul",2002,180,1.32136666666667
"20","aug",2002,180.5,1.31770637119114
"21","sep",2002,180.8,1.31551991150442
"22","oct",2002,181.2,1.31261589403974
"23","nov",2002,181.5,1.31044628099174
"24","dec",2002,181.8,1.30828382838284
"25","jan",2003,182.6,1.30255202628697
"26","feb",2003,183.6,1.29545751633987
"27","mar",2003,183.9,1.29334420880914
"28","apr",2003,183.2,1.29828602620087
"29","may",2003,182.9,1.30041552761072
"30","jun",2003,183.1,1.2989950846532
"31","jul",2003,183.7,1.29475231355471
"32","aug",2003,184.5,1.28913821138211
"33","sep",2003,185.1,1.28495948136143
"34","oct",2003,184.9,1.28634937804218
"35","nov",2003,185,1.28565405405405
"36","dec",2003,185.5,1.28218867924528
"37","jan",2004,186.3,1.27668276972625
"38","feb",2004,186.7,1.27394750937333
"39","mar",2004,187.1,1.27122394441475
"40","apr",2004,187.4,1.26918890074707
"41","may",2004,188.2,1.26379383634431
"42","jun",2004,188.9,1.25911064055056
"43","jul",2004,189.1,1.25777895293496
"44","aug",2004,189.2,1.25711416490486
"45","sep",2004,189.8,1.25314014752371
"46","oct",2004,190.8,1.24657232704403
"47","nov",2004,191.7,1.24071987480438
"48","dec",2004,191.7,1.24071987480438
